factor,har_intercept,har_daily,har_weekly,har_monthly,garch_omega,garch_alpha,garch_beta,loglikelihood,loglikelihood_oos,mse_train,mse_test,persistence
L_PC_MSFT_1,-0.002669680609633844,0.822090059355889,0.1247470073469044,0.015050803093814874,0.028983610985547834,0.39599527618954583,0.32815044398078597,-5828.951456072196,-12.816258449746195,0.08186998734826743,0.06318243076097202,0.7241457201703319
L_PC_MSFT_2,0.00015350821776672144,0.6100447173163565,0.3722553904578459,-0.008217155198861709,0.0002075840872044128,3.612767717269447e-18,0.9912171062275966,-5152.211317702044,76.23954290186057,0.02514928907193293,0.030543869686965226,0.9912171062275966
L_PC_MSFT_3,-0.002848459879489848,0.4732972245317565,0.4269049807624298,-0.04542641400753464,0.046275142015776906,0.1176807266653702,0.16067716954155037,-5723.156861379351,-54.820361458551716,0.06401124820151748,0.08892942655748487,0.2783578962069206
L_PC_NFLX_1,-0.0023664438789062145,0.8405178509322752,0.1265964085703658,-0.009695616841285698,0.003626673985167693,3.717396591310722e-14,0.9874229198637727,-6711.122085736122,-172.16298964326415,0.3221756709173965,0.22898169279617958,0.9874229198638099
L_PC_NFLX_2,0.0021908493383146817,0.8596274977092546,0.03719279849291979,-0.010642068571348967,0.13276386925680536,0.09634157447773685,9.11124384613302e-15,-6226.402503880081,-125.07662470698608,0.14741677710834492,0.15412583359462725,0.09634157447774597
L_PC_NFLX_3,0.004812220816224705,0.4134040305710441,0.64925852617928,-0.23431113663098754,0.05138651529607718,0.1678715194525031,0.07129691453563533,-5745.889027567611,-26.534284987779305,0.06662473676224549,0.06958177158375063,0.23916843398813842
L_PC_NVDA_1,0.007486978652808918,0.9360555000407654,0.025468819944981666,0.024396847813359622,0.02792766330204708,0.16066605317628296,0.7316968447383512,-6491.842202658983,-138.8975339219339,0.42460634842539635,0.17798585007045137,0.8923628979146341
L_PC_NVDA_2,-0.005370206215392859,0.6721687124411615,0.2694027853139911,-0.07563043282934427,0.008599913432575459,0.08573416972713908,0.8649097867888419,-6282.487460069775,-95.2499698542874,0.30653668570070797,0.11986463525115237,0.950643956515981
L_PC_NVDA_3,0.0022170959387546214,0.5661165493255134,0.39962717751354704,-0.01848624147196759,0.0014980374974571124,0.06125941472556777,0.8930346170585576,-5327.023165380461,117.99207805906764,0.06076090279525739,0.021857325842291796,0.9542940317841253
L_PC_QQQ_1,0.005489861985328998,0.5593625992160273,0.42476647868229805,-0.025107794200577793,0.0005786768455174397,0.01947828066301834,0.9669942340451186,-5635.849389072796,34.2385788786204,0.07210435406055685,0.0463523817839001,0.986472514708137
