factor,har_intercept,har_daily,har_weekly,har_monthly,garch_omega,garch_alpha,garch_beta,loglikelihood,persistence
G_PC_TSLA_3,-0.02937323482406251,0.5676470878684835,0.40017092121710074,-0.03979279274480238,0.04862995976113196,0.01429359630456917,0.9742783351963389,-2800.292277475138,0.988571931500908
G_PC_V_1,-0.06354639878657409,0.6603401733805808,0.3090602676729297,0.018090891022674804,0.08042441494209175,0.059916643569958676,0.925574077687368,-2778.841280544383,0.9854907212573266
G_PC_V_2,0.3770673798910802,0.426401285025021,0.48360126957647315,-0.010044521530063855,0.08610279297307648,0.052729539017958356,0.9361278630305548,-2963.0571906567093,0.9888574020485132
G_PC_V_3,-0.01370158167917812,0.4785126290150422,0.3949065250446062,0.08186492585558136,0.019508410089281943,0.07535215932638828,0.9209467464923698,-2205.4003712188564,0.9962989058187581
L_PC_AAPL_1,0.002155861281800925,0.7783752591366259,0.18048189814385437,7.888899623292867e-05,0.014818698481287433,0.09909946498335491,0.8880155102000153,-1586.0139064792565,0.9871149751833702
L_PC_AAPL_2,0.00011890823206336595,0.7642714356623438,0.20372933967112705,0.0031825958142631394,0.02389515329978326,0.07350742159804219,0.8819595480889972,-1302.1791011738599,0.9554669696870395
L_PC_AAPL_3,0.0010637790681924508,0.36795222724952215,0.5821398620866456,-0.07256775907780322,0.0018839159574614076,0.006575039776664633,0.9908660141347481,-1824.9723760087077,0.9974410539114127
L_PC_AMZN_1,0.0008679631344271875,0.8677741410491892,0.0830224256665088,-0.013520866684166515,0.10493955537905107,0.13204659989985737,0.7816302316625197,-1732.893445677474,0.913676831562377
L_PC_AMZN_2,-7.009497392319874e-05,0.6392637059444646,0.3167098092778047,-0.0654066730950254,0.11796365422060325,0.06167447807989702,0.8371893425724569,-1824.4240240413287,0.8988638206523539
L_PC_AMZN_3,0.002798314321991428,0.48687210564260786,0.5024182870429693,-0.07634798346692884,0.2954987838931686,0.11752231488073794,0.5760079285263701,-1712.2800573206114,0.693530243407108
L_PC_GLD_1,0.0008893223777073633,0.8039629782708928,0.11506718660774629,0.06854912331270696,0.021303991708684793,0.17477776534027936,0.720712018811239,-659.8764770621799,0.8954897841515184
L_PC_GLD_2,-0.0016263933732122045,0.8135802351216861,0.027449377787861967,0.053345969213489115,0.019882260707759662,0.09395188305772761,0.8474285622652382,-1017.5549428517044,0.9413804453229658
L_PC_GOOGL_1,0.002486253838828476,0.667503586501892,0.28920940865373035,-0.03454141833762844,0.005343825224954714,0.008322085018370035,0.9844878839765154,-1776.7557356771827,0.9928099689948855
L_PC_GOOGL_2,0.0009851648001963573,0.7785413716832114,0.19002458236281417,-0.024744842219038943,0.06453316103107432,0.306317159879082,0.6627050987243799,-1417.5673498335866,0.9690222586034618
L_PC_GOOGL_3,0.00227763864769302,0.3180789395875291,0.6489631199795438,-0.1301738818421444,0.7875210922060505,0.18067215391739558,0.16353554088368982,-1840.919585710134,0.3442076948010854
L_PC_GOOGL_4,-0.0003789055464622536,0.4603495750505955,0.5300666628579749,-0.06491626844358761,0.08178376547986801,0.14419406061846607,0.6319289061514154,-1072.215686460443,0.7761229667698815
L_PC_IWM_1,0.000127343834029639,0.8675682346776076,0.028065679395636853,0.06734148445501015,0.030948635628538706,0.20403124330315525,0.7927401636108091,-1642.7170125098992,0.9967714069139644
L_PC_IWM_2,-0.0007000375012173113,0.6174420156190501,0.2502689602860045,0.10559054491174506,0.024718378509705007,0.0707808389277503,0.8851799288246971,-1339.6882351331303,0.9559607677524474
