Edge,Family,Rotation,NLL,AIC,BIC
T4_E45,Indep,0,0.0,0.0,0.0
T4_E46,Indep,0,0.0,0.0,0.0
T4_E47,Bicopfamily.gumbel,0,-44.86915553841247,1370.2616889231751,5095.0862186386685
T4_E48,Indep,0,0.0,0.0,0.0
T4_E49,Indep,0,0.0,0.0,0.0
T4_E50,Indep,0,0.0,0.0,0.0
T4_E51,Indep,0,0.0,0.0,0.0
T4_E52,Bicopfamily.frank,0,-11.422773396826704,181.1544532063466,701.6093874953608
T4_E53,Indep,0,0.0,0.0,0.0
T4_E54,Indep,0,0.0,0.0,0.0
T4_E55,Bicopfamily.clayton,0,2.2885407791846952,1464.5770815583694,5189.401611273863
T4_E56,Indep,0,0.0,0.0,0.0
T5_E0,Bicopfamily.student,0,-24.431702307981006,1413.136595384038,5143.063624455306
T5_E1,Indep,0,0.0,0.0,0.0
T5_E2,Indep,0,0.0,0.0,0.0
T5_E3,Bicopfamily.student,0,1.1920351178650492,1464.3840702357302,5194.311099306999
T5_E4,Indep,0,0.0,0.0,0.0
T5_E5,Bicopfamily.gaussian,0,-48.80403681311812,498.3919263737638,2018.936734394609
T5_E6,Bicopfamily.frank,0,-49.12456848051855,105.7508630389629,626.205797327977
T5_E7,Bicopfamily.student,0,-1.0346018460646829,1459.9307963078707,5189.857825379139
T5_E8,Bicopfamily.gaussian,0,-44.138376922358354,507.7232461552833,2028.2680541761285
T5_E9,Bicopfamily.student,0,-5.404189872455832,1451.1916202550883,5181.118649326357
T5_E10,Bicopfamily.student,0,2.582825845985324,1467.1656516919707,5197.092680763239
T5_E11,Bicopfamily.clayton,270,6.609521364973041,1473.219042729946,5198.04357244544
T5_E12,Indep,0,0.0,0.0,0.0
T5_E13,Bicopfamily.student,0,3.2340951653511407,1468.4681903307023,5198.39521940197
T5_E14,Bicopfamily.frank,0,-8.152238760281273,187.69552247943744,708.1504567684517
T5_E15,Indep,0,0.0,0.0,0.0
T5_E16,Bicopfamily.student,0,-112.84362983393555,1236.312740332129,4966.239769403397
T5_E17,Bicopfamily.gumbel,270,-4.7649833481417225,1450.4700333037165,5175.29456301921
T5_E18,Indep,0,0.0,0.0,0.0
T5_E19,Indep,0,0.0,0.0,0.0
T5_E20,Indep,0,0.0,0.0,0.0
T5_E21,Indep,0,0.0,0.0,0.0
T5_E22,Indep,0,0.0,0.0,0.0
T5_E23,Bicopfamily.gumbel,180,-1.060420964418917,1457.8791580711622,5182.703687786656
T5_E24,Indep,0,0.0,0.0,0.0
T5_E25,Indep,0,0.0,0.0,0.0
T5_E26,Bicopfamily.frank,0,-9.697716454460904,184.6045670910782,705.0595013800923
T5_E27,Bicopfamily.clayton,180,-3.7241134378983727,1452.5517731242032,5177.376302839697
T5_E28,Bicopfamily.frank,0,-10.010053053969585,183.97989389206083,704.4348281810751
T5_E29,Indep,0,0.0,0.0,0.0
T5_E30,Bicopfamily.frank,0,-13.080448407276675,177.83910318544665,698.2940374744609
T5_E31,Bicopfamily.frank,0,-19.445104191401995,165.109791617196,685.5647259062102
T5_E32,Indep,0,0.0,0.0,0.0
T5_E33,Indep,0,0.0,0.0,0.0
T5_E34,Bicopfamily.frank,0,-7.610182113941794,188.77963577211642,709.2345700611306
T5_E35,Indep,0,0.0,0.0,0.0
T5_E36,Bicopfamily.clayton,270,1.9564809859488523,1463.9129619718976,5188.737491687391
T5_E37,Bicopfamily.frank,0,-35.51116390726663,132.97767218546676,653.432606474481
T5_E38,Indep,0,0.0,0.0,0.0
T5_E39,Bicopfamily.clayton,0,5.541738256532034,1471.0834765130642,5195.9080062285575
T5_E40,Indep,0,0.0,0.0,0.0
T5_E41,Indep,0,0.0,0.0,0.0
T5_E42,Bicopfamily.clayton,90,0.8917215946784833,1461.783443189357,5186.607972904851
T5_E43,Indep,0,0.0,0.0,0.0
T5_E44,Bicopfamily.gumbel,270,0.16468763334036005,1460.3293752666807,5185.153904982174
T5_E45,Indep,0,0.0,0.0,0.0
T5_E46,Indep,0,0.0,0.0,0.0
T5_E47,Bicopfamily.clayton,0,-0.35324554558799415,1459.293508908824,5184.118038624318
T5_E48,Indep,0,0.0,0.0,0.0
T5_E49,Bicopfamily.student,0,-11.180661245965915,1439.6386775080682,5169.565706579337
T5_E50,Bicopfamily.student,0,-1.3116484451090908,1459.3767031097818,5189.30373218105
T5_E51,Bicopfamily.clayton,270,0.8179342388254258,1461.6358684776508,5186.460398193144
T5_E52,Indep,0,0.0,0.0,0.0
T5_E53,Indep,0,0.0,0.0,0.0
T5_E54,Indep,0,0.0,0.0,0.0
T5_E55,Bicopfamily.gaussian,0,-62.35967356986867,471.28065286026265,1991.825460881108
T6_E0,Indep,0,0.0,0.0,0.0
T6_E1,Indep,0,0.0,0.0,0.0
T6_E2,Indep,0,0.0,0.0,0.0
T6_E3,Bicopfamily.frank,0,-7.567726156747247,188.86454768650552,709.3194819755197
T6_E4,Indep,0,0.0,0.0,0.0
T6_E5,Indep,0,0.0,0.0,0.0
T6_E6,Bicopfamily.frank,0,-7.337745502867913,189.32450899426416,709.7794432832784
T6_E7,Indep,0,0.0,0.0,0.0
T6_E8,Bicopfamily.student,0,-9.808635909997502,1442.382728180005,5172.309757251273
T6_E9,Indep,0,0.0,0.0,0.0
T6_E10,Indep,0,0.0,0.0,0.0
T6_E11,Indep,0,0.0,0.0,0.0
T6_E12,Indep,0,0.0,0.0,0.0
T6_E13,Indep,0,0.0,0.0,0.0
