Edge,Family,Rotation,Omega,A,B,Nu,NLL,AIC,BIC
T1_E20,Bicopfamily.student,0,-0.07842462509870529,0.012876484543085098,0.975470244884491,14.801220893859863,-1.2612972576511594,5.477405484697681,25.887402907796275
T1_E21,Bicopfamily.student,0,-0.050566643476486206,0.017114324495196342,0.964301586151123,7.249445915222168,6.674472310533078,21.348944621066156,41.758942044164755
T1_E22,Bicopfamily.student,0,0.022523192688822746,0.0252789668738842,0.9149443507194519,9.244940757751465,4.072044088199877,16.144088176399755,36.55408559949835
T1_E23,Bicopfamily.gumbel,90,-2.4739012718200684,-0.5325665473937988,0.3575713336467743,,-16.415916791745463,-26.831833583490926,-11.524335516166978
T1_E24,Bicopfamily.gaussian,0,-0.15504729747772217,0.015754789113998413,0.9874107241630554,,-20.852325384157712,-35.704650768315425,-20.397152700991477
T1_E25,Bicopfamily.student,0,-0.1224820613861084,0.0057573518715798855,0.9412904381752014,24.430278778076172,-10.021477870089104,-12.042955740178208,8.367041682920387
T1_E26,Bicopfamily.clayton,180,-3.732159376144409,0.2942894995212555,0.9959587454795837,,-0.06429876419029006,5.87140247161942,21.178900538943367
T1_E27,Bicopfamily.frank,0,0.39014530181884766,0.08997780829668045,0.9698213934898376,,-0.9041388000269865,4.191722399946027,19.499220467269975
T1_E28,Bicopfamily.student,0,-0.08363170921802521,-0.007285842671990395,0.9822151064872742,8.7920560836792,6.200065677333196,20.400131354666392,40.81012877776499
T1_E29,Bicopfamily.student,0,0.022695785388350487,-0.013221711851656437,0.9623406529426575,11.534236907958984,-3.9853044978286976,0.029391004342604887,20.4393884274412
T1_E30,Bicopfamily.student,0,-0.10174466669559479,0.0022913669236004353,0.9663946628570557,10.955883979797363,-6.615830611156794,-5.231661222313589,15.178336200785006
T1_E31,Bicopfamily.student,0,0.0932728722691536,-0.010189620777964592,0.9622489213943481,14.30744457244873,-12.130844457664592,-16.261688915329184,4.148308507769411
T1_E32,Bicopfamily.frank,0,-0.6811409592628479,-0.12056688964366913,0.9833676815032959,,-11.275400796515196,-16.550801593030393,-1.2433035257064446
T1_E33,Bicopfamily.gaussian,0,0.10741967707872391,0.04833172634243965,0.9327071905136108,,-17.02585455964406,-28.05170911928812,-12.744211051964172
T1_E34,Bicopfamily.student,0,0.17185713350772858,0.010005278512835503,0.9597771763801575,15.03230094909668,-20.67991125055546,-33.35982250111092,-12.949825078012324
T1_E35,Bicopfamily.gaussian,0,0.10051968693733215,0.010475545190274715,0.9766989946365356,,-7.107383759602737,-8.214767519205473,7.092730548118475
T1_E36,Bicopfamily.student,0,0.14986224472522736,0.014855446293950081,0.9812869429588318,7.509775161743164,-0.6056929856026905,6.788614028794619,27.198611451893214
T1_E37,Bicopfamily.student,0,-0.166866734623909,0.0187206007540226,0.9913598895072937,15.02302360534668,-30.49077325246265,-52.9815465049253,-32.5715490818267
T1_E38,Bicopfamily.student,0,0.058440711349248886,0.01290300115942955,0.9693534970283508,11.043963432312012,1.4874789139332596,10.974957827866518,31.384955250965113
T1_E39,Bicopfamily.student,0,0.2847754657268524,0.01848282665014267,0.9760940670967102,10.914868354797363,-55.24949006757756,-102.49898013515512,-82.08898271205652
T1_E40,Bicopfamily.student,0,-0.030823996290564537,0.018586058169603348,0.981274425983429,13.891234397888184,-4.361865784959249,-0.7237315699184972,19.686265853180096
T1_E41,Bicopfamily.student,0,-0.19708915054798126,0.019547808915376663,0.9923585057258606,8.224007606506348,-54.32591863467213,-100.65183726934426,-80.24183984624565
T1_E42,Bicopfamily.frank,0,0.06955249607563019,0.11599475890398026,0.9803001880645752,,-5.061299658204847,-4.122599316409694,11.184898750914254
T1_E43,Bicopfamily.student,0,0.02294524386525154,0.012135105207562447,0.9757983088493347,14.5856351852417,-6.087850163455661,-4.175700326911322,16.234297096187273
T1_E44,Bicopfamily.student,0,-0.05567317083477974,-0.0037947138771414757,0.949733316898346,16.20574951171875,1.2179271372922662,10.435854274584532,30.845851697683127
T1_E45,Bicopfamily.frank,0,-0.4877578318119049,0.0966305360198021,0.9722546339035034,,0.4825682054541933,6.965136410908387,22.272634478232334
T1_E46,Bicopfamily.student,0,-0.114214226603508,0.006747922860085964,0.9816702604293823,11.893272399902344,-24.615416659327366,-41.23083331865473,-20.820835895556137
T1_E47,Bicopfamily.gaussian,0,0.03970429673790932,-0.0031479515600949526,0.961208164691925,,-1.007999612950645,3.98400077409871,19.29149884142266
T1_E48,Bicopfamily.clayton,0,-3.2275924682617188,0.03393978253006935,0.973795473575592,,-0.9856165128930026,4.028766974213995,19.336265041537942
